DOW;AUT;ACH;SOI;FACC;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;404;Nové Zámky;4;Nitriansky;1347064780.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nové Zámky;SK0234
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;405;Ša¾a;4;Nitriansky;355900088.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Ša¾a;SK0235
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;406;Topo¾èany;4;Nitriansky;597633732.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Topo¾èany;SK0236
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;407;Zlaté Moravce;4;Nitriansky;521176713.0;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Zlaté Moravce;SK0237
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;501;Bytèa;5;Žilinský;281518791.0;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Bytèa;SK0311
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;502;Èadca;5;Žilinský;760617232.0;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Èadca;SK0312
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;503;Dolný Kubín;5;Žilinský;491838833.0;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Dolný Kubín;SK0313
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;504;Kysucké Nové Mesto;5;Žilinský;173683180.0;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Kysucké Nové Mesto;SK0314
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;505;Liptovský Mikuláš;5;Žilinský;1341034349.0;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Liptovský Mikuláš;SK0315
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;506;Martin;5;Žilinský;735635757.0;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Martin;SK0316
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;507;Námestovo;5;Žilinský;690455235.0;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Námestovo;SK0317
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;508;Ružomberok;5;Žilinský;646798629.0;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Ružomberok;SK0318
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;509;Turèianske Teplice;5;Žilinský;392860227.0;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Turèianske Teplice;SK0319
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;510;Tvrdošín;5;Žilinský;478920302.0;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Tvrdošín;SK031A
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;511;Žilina;5;Žilinský;815084619.0;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Žilina;SK031B
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;601;Banská Bystrica;6;Banskobystrický;809438509.0;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;602;Banská Štiavnica;6;Banskobystrický;292296584.0;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Štiavnica;SK0322
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;603;Brezno;6;Banskobystrický;1265248094.0;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Brezno;SK0323
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;604;Detva;6;Banskobystrický;449139560.0;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Detva;SK0324
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;605;Krupina;6;Banskobystrický;584899600.0;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Krupina;SK0325
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;606;Luèenec;6;Banskobystrický;825553363.0;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Luèenec;SK0326
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;607;Poltár;6;Banskobystrický;476302263.0;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Poltár;SK0327
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;608;Revúca;6;Banskobystrický;730123621.0;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Revúca;SK0328
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;609;Rimavská Sobota;6;Banskobystrický;1471073878.0;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Rimavská Sobota;SK0329
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;610;Ve¾ký Krtíš;6;Banskobystrický;848147383.0;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Ve¾ký Krtíš;SK032A
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;611;Zvolen;6;Banskobystrický;759021066.0;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Zvolen;SK032B
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;612;Žarnovica;6;Banskobystrický;425087956.0;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Žarnovica;SK032C
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;613;Žiar nad Hronom;6;Banskobystrický;517659600.0;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Žiar nad Hronom;SK032D
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;701;Bardejov;7;Prešovský;935952640.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Bardejov;SK0411
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;702;Humenné;7;Prešovský;754238069.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Humenné;SK0412
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;703;Kežmarok;7;Prešovský;629825124.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Kežmarok;SK0413
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;704;Levoèa;7;Prešovský;421001278.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Levoèa;SK0414
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;705;Medzilaborce;7;Prešovský;427252072.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Medzilaborce;SK0415
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;706;Poprad;7;Prešovský;1104647328.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Poprad;SK0416
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;707;Prešov;7;Prešovský;933956650.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Prešov;SK0417
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;708;Sabinov;7;Prešovský;545448530.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Sabinov;SK0418
