DOW;AUT;ACH;SOI;FACC;IDN4;NM4;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526509;Gelnica;801;Gelnica;8;Košický;57652137.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Gelnica;SK0421;Gelnica;SK0421526509
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526517;Granè-Petrovce;704;Levoèa;7;Prešovský;3166428.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Levoèa;SK0414;Granè-Petrovce;SK0414526517
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526525;Harakovce;704;Levoèa;7;Prešovský;5275748.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Levoèa;SK0414;Harakovce;SK0414526525
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526533;Harichovce;810;Spišská Nová Ves;8;Košický;10797480.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Spišská Nová Ves;SK042A;Harichovce;SK042A526533
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526541;Helcmanovce;801;Gelnica;8;Košický;12850313.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Gelnica;SK0421;Helcmanovce;SK0421526541
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526550;Henclová;801;Gelnica;8;Košický;14319426.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Gelnica;SK0421;Henclová;SK0421526550
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526568;Hincovce;810;Spišská Nová Ves;8;Košický;6485567.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Spišská Nová Ves;SK042A;Hincovce;SK042A526568
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526576;Hnilèík;810;Spišská Nová Ves;8;Košický;22229809.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Spišská Nová Ves;SK042A;Hnilèík;SK042A526576
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526584;Hnilec;810;Spišská Nová Ves;8;Košický;27081590.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Spišská Nová Ves;SK042A;Hnilec;SK042A526584
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526592;Hrabušice;810;Spišská Nová Ves;8;Košický;40885546.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Spišská Nová Ves;SK042A;Hrabušice;SK042A526592
